product_name,link, product_images,price,details,image_url,product_name_stemmed
embossed bowling bag with pockets,https://www.zara.com/in/en/embossed-bowling-bag-with-pockets-p13110220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3110/220/800/2/w/448/3110220800_6_1_1.jpg?ts=1689675460902': 'Image 0 of EMBOSSED BOWLING BAG WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3110/220/800/2/w/448/3110220800_6_2_1.jpg?ts=1689675460931': 'Image 1 of EMBOSSED BOWLING BAG WITH POCKETS from Zara'}]","₹ 5,990.00",Bowling bag. Embossed detailing on the exterior. The main compartment has a double zip closure and the inside has a zip pocket. Featuring two medium-sized front pockets and zip fastening. Side pockets with no fastening. Featuring two handles and a matching adjustable and detachable shoulder strap.Height x Length x Width 30 x 50 x 20 cm. / 11.8 x 19.6 x 7.8″View more,https://static.zara.net/photos///2023/I/1/2/p/3110/220/800/2/w/448/3110220800_6_1_1.jpg?ts=1689675460902,emboss bowl bag with pocket
rubberised backpack with flap,https://www.zara.com/in/en/rubberised-backpack-with-flap-p13211220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3211/220/107/2/w/448/3211220107_2_1_1.jpg?ts=1689941743116': 'Image 0 of RUBBERISED BACKPACK WITH FLAP from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3211/220/107/2/w/448/3211220107_2_2_1.jpg?ts=1689941744467': 'Image 1 of RUBBERISED BACKPACK WITH FLAP from Zara'}]","₹ 2,990.00",Backpack with a rubberised finish. The main compartment folds towards the front and closes with a zip and clip buckle. The inside has a zip pocket. The front has a zip pocket. Handle and two adjustable and breathable shoulder straps. The back is padded and breathable for improved comfort during use.Height x Length x Width 40 x 30 x 15 cm. / 15.7 x 11.8 x 5.9″View more,https://static.zara.net/photos///2023/I/1/2/p/3211/220/107/2/w/448/3211220107_2_1_1.jpg?ts=1689941743116,rubberis backpack with flap
combined backpack with flap,https://www.zara.com/in/en/combined-backpack-with-flap-p13209221.html,"[{'https://static.zara.net/photos///2023/V/1/2/p/3209/220/400/2/w/448/3209220400_2_1_1.jpg?ts=1683289817172': 'Image 0 of COMBINED BACKPACK WITH FLAP from Zara'}, {'https://static.zara.net/photos///2023/V/1/2/p/3209/220/400/2/w/448/3209220400_2_2_1.jpg?ts=1683289817238': 'Image 1 of COMBINED BACKPACK WITH FLAP from Zara'}]","₹ 3,290.00",Backpack in a combination of materials. The main compartment folds towards the front and closes with a zip and clip buckle. The inside has a zip pocket. The front has a flap pocket. The handle and two adjustable and breathable shoulder straps. The back is padded and breathable for improved comfort during use. Height x Length x Width: 40 x 30 x 15 cm. / 15.7 x 11.8 x 5.9″View more,https://static.zara.net/photos///2023/V/1/2/p/3209/220/400/2/w/448/3209220400_2_1_1.jpg?ts=1683289817172,combin backpack with flap
soft xl crossbody bag,https://www.zara.com/in/en/soft-xl-crossbody-bag-p13307220.html,"[{'https://static.zara.net/photos///2023/V/1/2/p/3307/220/800/2/w/448/3307220800_2_1_1.jpg?ts=1682521166161': 'Image 0 of SOFT XL CROSSBODY BAG from Zara'}, {'https://static.zara.net/photos///2023/V/1/2/p/3307/220/800/2/w/0/3307220800_2_2_1.jpg?ts=1682521168673': 'Image 1 of SOFT XL CROSSBODY BAG from Zara'}]","₹ 2,890.00",Crossbody bag. Monochrome. Plain design. Soft construction. The main pocket has double zip closure. The inside has a zip pocket. Adjustable shoulder strap.Height x Length x Width 38 x 42 x 5 cm. / 14.9 x 16.5 x 1.9″View more,https://static.zara.net/photos///2023/V/1/2/p/3307/220/800/2/w/448/3307220800_2_1_1.jpg?ts=1682521166161,soft xl crossbodi bag
floral jacquard bermuda shorts,https://www.zara.com/in/en/floral-jacquard-bermuda-shorts-p07484306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/7484/306/710/2/w/448/7484306710_1_1_1.jpg?ts=1692021899343': 'Image 0 of FLORAL JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/7484/306/710/2/w/448/7484306710_2_1_1.jpg?ts=1692021898413': 'Image 1 of FLORAL JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,990.00",Bermuda shorts with an elasticated waistband. Front pockets and back patch pocket detail.,https://static.zara.net/photos///2023/I/0/2/p/7484/306/710/2/w/448/7484306710_1_1_1.jpg?ts=1692021899343,floral jacquard bermuda short
jacquard bermuda shorts,https://www.zara.com/in/en/jacquard-bermuda-shorts-p02795312.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2795/312/529/2/w/448/2795312529_1_1_1.jpg?ts=1689148214471': 'Image 0 of JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2795/312/529/2/w/448/2795312529_2_1_1.jpg?ts=1689148215152': 'Image 1 of JACQUARD BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Bermuda shorts with an adjustable elasticated waistband. Front pockets and back pocket detail.,https://static.zara.net/photos///2023/I/0/2/p/2795/312/529/2/w/448/2795312529_1_1_1.jpg?ts=1689148214471,jacquard bermuda short
short jacquard bermuda shorts,https://www.zara.com/in/en/short-jacquard-bermuda-shorts-p05862304.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5862/304/251/2/w/448/5862304251_1_1_1.jpg?ts=1691079126778': 'Image 0 of SHORT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5862/304/251/2/w/448/5862304251_2_1_1.jpg?ts=1691079127311': 'Image 1 of SHORT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Short Bermuda shorts made of a cotton blend fabric. Adjustable elasticated waistband with inner drawstring. Front hip pockets and rear patch pocket detail.,https://static.zara.net/photos///2023/I/0/2/p/5862/304/251/2/w/448/5862304251_1_1_1.jpg?ts=1691079126778,short jacquard bermuda short
geometric print jacquard bermuda shorts,https://www.zara.com/in/en/geometric-print-jacquard-bermuda-shorts-p06085355.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6085/355/712/2/w/448/6085355712_1_1_1.jpg?ts=1691079127704': 'Image 0 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6085/355/712/2/w/448/6085355712_2_1_1.jpg?ts=1691078951484': 'Image 1 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,290.00","Short Bermuda shorts made of a cotton blend. Featuring an elasticated waistband with adjustable drawstring, front hip pockets and back welt pockets.",https://static.zara.net/photos///2023/I/0/2/p/6085/355/712/2/w/448/6085355712_1_1_1.jpg?ts=1691079127704,geometr print jacquard bermuda short
abstract jacquard bermuda shorts,https://www.zara.com/in/en/abstract-jacquard-bermuda-shorts-p02675306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2675/306/527/2/w/448/2675306527_1_1_1.jpg?ts=1689756839360': 'Image 0 of ABSTRACT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2675/306/527/2/w/448/2675306527_2_1_1.jpg?ts=1689756835587': 'Image 1 of ABSTRACT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,990.00",Bermuda shorts made of compact fabric. Adjustable elasticated waistband with drawstring. Front pockets and rear pocket detail.,https://static.zara.net/photos///2023/I/0/2/p/2675/306/527/2/w/448/2675306527_1_1_1.jpg?ts=1689756839360,abstract jacquard bermuda short
geometric print jacquard bermuda shorts,https://www.zara.com/in/en/geometric-print-jacquard-bermuda-shorts-p07563455.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7563/455/800/4/w/448/7563455800_1_1_1.jpg?ts=1687345452542': 'Image 0 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7563/455/800/4/w/448/7563455800_2_3_1.jpg?ts=1687345451294': 'Image 1 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Relaxed-fit Bermuda shorts made of a viscose and cotton blend. An adjustable elasticated waistband with drawstring. Side pockets and back welt pockets.,https://static.zara.net/photos///2023/I/0/1/p/7563/455/800/4/w/448/7563455800_1_1_1.jpg?ts=1687345452542,geometr print jacquard bermuda short
